Name, Longitude, Latitude
Zuytdorp Point,113.3,-26.4
Zuytdorp Cliffs,113.66667,-27.83333
Mount Zion,138.20853,-33.19381
Mount Zephyr,121.7936,-28.38701
Mount Zeil,132.3958,-23.4018
Zeewijk Channel,113.85,-28.78333
Zed Hill,132.28333,-14.88333
Zanthus,123.56667,-31.03333
Zadows Hill,139.38333,-35
Yuwanyadi Rockhole,128.26667,-31.81667
Yuwaiyunn Creek,131.66667,-14.43333
Yuwah Point,139.43333,-16.66667
Yurrauwe Pans,131.5,-28.96667
Yurongan Waterhole,132.4,-16.2
Yunumbar Well,116.01667,-25.96667
Yunta Creek,139.7,-32.71667
Yunta,139.55,-32.58333
Yunndaga,121.05,-29.75
Yungunup Pool,118.75,-34.4
Yungermere,118.13333,-34.4
Yungarup Hill,122.5,-33.91667
Yundi,138.63333,-35.31667
Yundhajibbie Soak,122.63333,-28.06667
Yunda Out Camp,116.9,-25.71667
Yundamindera,122.03333,-29.11667
Yuna,115,-28.33333
Yumburra Reservoir,135.38333,-32.95
Yumbarra Rockhole,133.51667,-31.75
Yumali,139.76667,-35.51667
Yulleroo Well,122.93333,-17.76667
Yulgan Brook,116.51667,-31.31667
Yule River,118.28333,-20.68333
Yule Entrance,124.4,-16.33333
Yule Brook,115.96667,-32.03333
Yulawarra Creek,116.5,-23.36667
Yulakin Gully,117.56667,-33.03333
Yuki,138.73333,-34.71667
Yuin Well,116.03333,-27.98333
Yuin,116.0353,-27.97985
Yuendumu,131.81667,-22.26667
Yudnapinna Hill,137.13333,-32.1
Yudnapinna,137.15,-32.13333
Yudenda Rockhole,126.6,-32.01667
Yowungup,116.13333,-33.53333
Yow Rockhole,130.61667,-22
Yownama Creek,121.05,-21.26667
Yowie Rockhole,122.35,-30.46667
Yowerreena Hill,119.9,-25.3
Yowerie,117.45,-27.26667
Yoweragabbie Well,117.65,-28.21667
Yoweragabbie,117.65,-28.21667
Yoweragabbie,117.68333,-28.23333
Yowalga Rockholes,125.7,-26.8
Yowakirrennina Creek,138.48333,-28
Yourmill Waterhole,132.66667,-12.66667
Yourdar Hill,116.23333,-26.33333
Yourdamung Lake,116.2685,-33.19935
Yourambulla Peak,138.38408,-31.95001
Youraling,116.98333,-32.3
Youno Downs,119.26667,-27.05
Youngs Lake,137.18333,-30.88333
Youngs,117.51667,-35.01667
Young Rocks,137.25,-36.38333
Young River,117.78333,-34.5
Young River,121.16667,-33.81667
Young Range,125.26667,-25.01667
Younghusband Peninsula,139.5,-36
Mount Younghusband,135.86667,-28.16667
Lake Younghusband,136.09541,-30.8351
Cape Younghusband,136.81667,-36.05
Mount Young,137.4838,-33.09957
Mount Young,135.73061,-15.1517
Youndegin Creek,117.3,-31.65
Youndegin,117.31667,-31.8
Youltangunna Hill,136.55,-27.55
Youlingoorina,118.16667,-21.15
Youlgarou Rockhole,127.45,-31.88333
Youlgannah Rockhole,126.26667,-31.96667
Mount Youle,121.65,-30.68333
Youl Creek,138.46667,-19.45
Youinmery,119.01667,-28.58333
Youering Rock,117.38333,-31.53333
Youdra Well,116.3,-26.48333
Youan Well,115.86667,-27.33333
Youanmi Well,119.05,-28.61667
Youanmi Downs,118.81667,-28.55
Youanmi,118.81667,-28.61667
Youangarra,118.83333,-28.76667
Yoting Well,117.6,-31.9
Yoting,117.61667,-31.96667
Yornup,116.16667,-34.05
Yornaning,117.15,-32.73333
Yorlok,117.13333,-32.9
York Sound,125.08333,-14.83333
Yorkrakine Rocks,118.75,-31.21667
Yorkrakine,117.58333,-31.38333
Yorke Valley Reservoir,137.66667,-34.43333
Yorketown,137.60486,-35.01845
Yorke Peninsula,137.25,-35.08333
Point Yorke,137.2,-35.23333
Mount York,125.48333,-15.5
York,116.76874,-31.88467
Yoothapina,118.5053,-26.52064
Yooralling Well,117.26667,-31.76667
Yoongarilup,115.43333,-33.71667
Yoondoo Well,113.83333,-24.65
Yoolperlunna Hill,133.86667,-27
Yoolperlunna Creek,133.93333,-26.95
Mount Yooadda Darlinu,114.35,-27.5
Yongala Cowie,137.55,-34.91667
Yongala,138.75,-33.03333
Yonderup Lake,115.68333,-31.55
Yokradine,119.36667,-29.95
Yokain Siding,116.06667,-33.33333
Yoganup,115.55,-33.65
Yockrikine Range,117.5,-33.03333
Ylbalgul,119.68333,-20.08333
Yirrkala,136.89119,-12.25505
Yinnietharra,116.18333,-24.65
Yinnewepping Pool,116.28333,-26.11667
Yingarrie Bluff,119.38333,-27.73333
Yingarding Soak,117.83333,-30.03333
Yindi Rock,122.48333,-30.58333
Mount Yindarlgooda,121.86667,-30.8
Lake Yindarlgooda,121.91667,-30.75
Yindabiddy Pool,118.71667,-23.9
Yinberrie Hill,132.08333,-14.11667
Yinadong Well,120.53333,-19.8
Yilmia,121.46667,-31.23333
Yillinnienar Pool,118.03333,-20.53333
Yilliminning Rock,117.36667,-32.93333
Yilliminning River,117.41667,-33
Yilliminning,117.36667,-32.9
Yilliga Well,115.26667,-23.6
Yilga Well,116.13333,-26.53333
Yilgatherra Well,115.76667,-22.83333
Yilgalong Pool,120.9,-21.01667
Yilgalong Creek,120.91667,-21.03333
Yilbung Bore,138.25,-21.01667
Yilbrinna Pool,118.51667,-23.98333
Yilbee Well,116.2,-23.51667
Yijulka Creek,135.43333,-28.13333
Yijinna Pool,115.91667,-23.53333
Yidie Larong Well,122.15,-19.78333
Yidby Hill,117.21667,-29.31667
Ygnaterring Spring,117.3,-31.36667
Yew Creek,131,-11.9
Yeuralba Creek,132.73333,-14.2
Yetna,114.7,-28.61667
Yeticup Lake,116.36667,-34.25
Yerritup Creek,121.16667,-33.76667
Yerringerri Rockhole,134.75,-20.7
Yerrilyer Well,115.28333,-27.41667
Yerrida Spring,119.76667,-25.86667
Yerramudder Hill,119.1,-29.08333
Yerraminnup River,116.45,-34.25
Yerrakajerinna Pool,115.93333,-23.46667
Yerra Bluff,116.16667,-21.75
Yerniakka Rockhole,124.21667,-19.63333
Yeriminup Hill,117,-34.23333
Yerilla,121.81667,-29.5
Yerilgee Rockhole,119.98333,-30.06667
Yerila Creek,139.98333,-29.63333
Yerila,139.68333,-29.78333
Yeriecoola Swamp,139.95,-26.6
Yericoin,116.38333,-30.93333
Yerelina Creek,138.75,-29.75
Yerelina,139.15,-30.08333
Yerda Well,135,-31.08333
Yerdani Well,120.61667,-31.18333
Yerbillon,118.75,-31.38333
Yerawonyah Rockhole,121.48333,-22.43333
Yerapin Spring,117.93333,-31.81667
Yerangatup,122.38333,-33.81667
Yeo Hills,124.41667,-28.1
Yeo Hill,126.56667,-26.18333
Yeoh Hills,117.26667,-29.21667
Lake Yeo,124.38333,-28.06667
Lake Yenyening,117.3998,-32.07154
Yenyannig,119.3,-30.25
Yenteyerrup Swamp,119.01667,-34.4
Yenna Pool,117.53333,-21.66667
Yeneena Creek,121.68333,-22.41667
Yendinnup Swamp,118.98333,-34.33333
Yendicup Swamp,116.58333,-34.16667
Yendang Hill,120.3,-29.31667
Yenamber Well,117.26667,-27.4
