CityName,Lat,Lon,Population
New York,40.6943,-73.9249,19354922
Los Angeles,34.1139,-118.4068,12815475
Chicago,41.8373,-87.6861,8675982
Miami,25.784,-80.2102,6381966
Dallas,32.7937,-96.7662,5733259
Philadelphia,40.0076,-75.134,5637884
Houston,29.7868,-95.3905,5446468
Washington,38.9047,-77.0163,5289420
Atlanta,33.7626,-84.4228,5228750
Boston,42.3188,-71.0846,4637537
Phoenix,33.5722,-112.0891,4081849
Seattle,47.6211,-122.3244,3643765
San Francisco,37.7562,-122.443,3603761
Detroit,42.3834,-83.1024,3522206
San Diego,32.8312,-117.1226,3210314
Minneapolis,44.9635,-93.2678,2926757
Tampa,27.9937,-82.4454,2804240
Denver,39.7621,-104.8759,2787266
Brooklyn,40.6501,-73.9496,2629150
Queens,40.7498,-73.7976,2333054
Baltimore,39.3051,-76.6144,2170504
Riverside,33.9381,-117.3948,2084749
Saint Louis,38.6358,-90.2451,2078283
Las Vegas,36.2291,-115.2607,2073045
Portland,45.5372,-122.65,2052796
San Antonio,29.4722,-98.5247,2002530
Sacramento,38.5667,-121.4683,1854698
San Jose,37.3018,-121.8485,1821899
Orlando,28.4788,-81.342,1776841
Cleveland,41.4767,-81.6805,1730363
Pittsburgh,40.4396,-79.9763,1715297
Cincinnati,39.1412,-84.5059,1648254
Manhattan,40.7834,-73.9662,1643734
Austin,30.3006,-97.7517,1638716
Kansas City,39.1239,-94.5541,1615621
Indianapolis,39.7771,-86.1458,1564699
Columbus,39.986,-82.9852,1528314
Virginia Beach,36.7335,-76.0435,1480383
Charlotte,35.2079,-80.8303,1467362
Bronx,40.8501,-73.8662,1455720
Milwaukee,43.064,-87.9669,1377808
Providence,41.8229,-71.4186,1206642
Jacksonville,30.3322,-81.6749,1156291
Salt Lake City,40.7774,-111.9301,1098400
Nashville,36.1714,-86.7844,1076645
Memphis,35.1047,-89.9773,1068873
Richmond,37.5295,-77.4756,1059907
New Orleans,30.0687,-89.9288,1029123
Raleigh,35.8323,-78.6439,1018336
Louisville,38.1662,-85.6488,1011696
Oklahoma City,35.4676,-97.5136,955998
Bridgeport,41.1909,-73.1958,938406
Buffalo,42.9017,-78.8487,926261
Hartford,41.7661,-72.6834,914751
Fort Worth,32.7814,-97.3473,874168
Tucson,32.1546,-110.8782,868391
El Paso,31.8479,-106.4309,845674
Honolulu,21.3294,-157.846,833671
Omaha,41.2628,-96.0495,827786
McAllen,26.2325,-98.2467,800904
Albuquerque,35.1053,-106.6464,758523
Birmingham,33.5276,-86.7988,744189
Dayton,39.7797,-84.1998,718169
Rochester,43.168,-77.6162,711998
Sarasota,27.3391,-82.5439,706245
Fresno,36.7834,-119.7941,698021
Allentown,40.5961,-75.4756,682899
Tulsa,36.1284,-95.9042,672054
Concord,37.9722,-122.0016,654770
Cape Coral,26.6444,-81.9956,630134
Springfield,42.1155,-72.5395,628076
Colorado Springs,38.8674,-104.7606,623946
Charleston,32.8137,-79.9643,616085
Grand Rapids,42.9615,-85.6557,602694
Mission Viejo,33.6095,-117.6551,600474
Albany,42.6664,-73.7987,597270
Knoxville,35.9692,-83.9495,585249
Baton Rouge,30.4423,-91.1314,583613
Bakersfield,35.353,-119.036,574362
Ogden,41.228,-111.9677,573632
New Haven,41.3112,-72.9245,568144
Columbia,34.037,-80.9042,566166
Akron,41.0802,-81.5219,565920
Provo,40.2458,-111.6457,503695
Worcester,42.2705,-71.8079,498997
Mesa,33.4017,-111.7181,496401
Palm Bay,27.9861,-80.6628,489912
Toledo,41.6639,-83.5822,488672
Murrieta,33.5719,-117.1909,483681
Wichita,37.6897,-97.3442,483057
Des Moines,41.5725,-93.6104,481222
Staten Island,40.5834,-74.1496,476015
Long Beach,33.8059,-118.161,469450
Greenville,34.8363,-82.365,467894
Little Rock,34.7255,-92.3581,442699
Harrisburg,40.2752,-76.8843,441580
Denton,33.2176,-97.1421,440146
Madison,43.0808,-89.3922,439553
Reno,39.5497,-119.8483,433271
Port Saint Lucie,27.2796,-80.3883,432589
Oakland,37.7903,-122.2165,425195
Winston-Salem,36.1029,-80.261,416581
Indio,33.7346,-116.2346,408097
Durham,35.9797,-78.9037,407575
Syracuse,43.0409,-76.1438,407259
Chattanooga,35.0657,-85.2488,407182
Lancaster,40.0421,-76.3012,404525
Spokane,47.6671,-117.433,403043
Palm Coast,29.5389,-81.246,401757
Arlington,32.6998,-97.125,396394
Bonita Springs,26.3559,-81.7861,396220
Poughkeepsie,41.6949,-73.921,396041
Stockton,37.9766,-121.3112,394467
Oxnard,34.1962,-119.1819,389792
Augusta,33.3645,-82.0708,389383
Scranton,41.4044,-75.6649,389022
Boise,43.6006,-116.2316,385218
Modesto,37.6374,-121.0028,381398
Kissimmee,28.3042,-81.4164,374231
Youngstown,41.0993,-80.6463,373728
Aurora,39.7084,-104.7274,366623
Anaheim,33.839,-117.8572,352497
Lancaster,34.6934,-118.1753,349218
Victorville,34.5277,-117.3537,346948
Pensacola,30.4427,-87.1886,344400
Fayetteville,36.0713,-94.166,341890
Corpus Christi,27.7173,-97.3822,341435
Jackson,32.3163,-90.2124,338185
Greensboro,36.0956,-79.8269,335588
Flint,43.0236,-83.6922,335354
Santa Ana,33.7366,-117.8819,334136
Fort Wayne,41.0885,-85.1436,328564
Ann Arbor,42.2755,-83.7312,326288
Fayetteville,35.0846,-78.9776,324700
Santa Rosa,38.4465,-122.706,321908
Lansing,42.7142,-84.56,320928
Mobile,30.6783,-88.1162,318084
Lexington,38.0423,-84.4587,315939
Huntsville,34.6989,-86.6414,309716
Santa Clarita,34.4155,-118.4992,309378
Asheville,35.5706,-82.5537,309250
Saint Paul,44.9477,-93.104,306621
Fort Collins,40.5479,-105.0658,303184
Antioch,37.9789,-121.7957,302885
Henderson,36.0145,-115.0362,302539
Trenton,40.2237,-74.764,296869
Lakeland,28.0557,-81.9543,291281
Shreveport,32.4659,-93.7959,287432
Davenport,41.5563,-90.6052,287413
Springfield,37.1943,-93.2915,287222
Plano,33.0502,-96.7487,286143
Rockford,42.2598,-89.0641,285562
Newark,40.7245,-74.1725,285154
Lincoln,40.8098,-96.6802,285118
Round Lake Beach,42.3791,-88.0811,284607
South Bend,41.6771,-86.2692,281100
Savannah,32.0282,-81.1786,280082
Irvine,33.6772,-117.7738,277453
Canton,40.8076,-81.3677,271184
Jersey City,40.7161,-74.0682,270753
Chula Vista,32.6281,-117.0145,270471
Eugene,44.0563,-123.1173,267568
Reading,40.34,-75.9266,267300
Lafayette,30.2083,-92.0322,265746
Saint Petersburg,27.793,-82.6652,263255
Lubbock,33.5643,-101.8871,262505
Peoria,40.752,-89.6155,262010
Myrtle Beach,33.7096,-78.8843,260487
Laredo,27.5616,-99.487,260244
Salem,44.9232,-123.0245,259816
Columbus,32.51,-84.8771,259160
Montgomery,32.347,-86.2663,255908
Chandler,33.2827,-111.8516,253458
Anchorage,61.1508,-149.1091,253421
Tallahassee,30.455,-84.2526,253030
Concord,35.3933,-80.636,250186
Scottsdale,33.6872,-111.865,249950
Killeen,31.0754,-97.7293,247489
Glendale,33.5796,-112.2258,246709
Wilmington,34.21,-77.886,245910
Winter Haven,28.0122,-81.7018,245237
Norfolk,36.8945,-76.259,244703
North Las Vegas,36.288,-115.0901,242975
Gilbert,33.3103,-111.7463,242354
Atlantic City,39.3797,-74.4527,241363
Chesapeake,36.6778,-76.3024,240397
Irving,32.8584,-96.9702,240373
Hialeah,25.8696,-80.3045,239673
Garland,32.91,-96.6305,238002
McKinney,33.2016,-96.6669,235134
Fremont,37.5265,-121.9852,234962
Visalia,36.3273,-119.3264,234573
York,39.9651,-76.7315,234245
Kennewick,46.1979,-119.1732,232915
Evansville,37.9882,-87.5339,232285
Nashua,42.7491,-71.491,231262
Brownsville,25.998,-97.4565,227883
Appleton,44.2774,-88.3894,222222
Gulfport,30.4271,-89.0703,221348
Thousand Oaks,34.1914,-118.8755,218729
Avondale,33.3858,-112.3236,217192
San Bernardino,34.1412,-117.2936,216995
Bremerton,47.5436,-122.7122,216480
Roanoke,37.2785,-79.958,216177
Hickory,35.7427,-81.3233,215353
Kalamazoo,42.2749,-85.5881,214083
Tacoma,47.2431,-122.4531,213418
Fontana,34.0968,-117.4599,211815
Green Bay,44.515,-87.9896,208625
College Station,30.5852,-96.296,207308
Moreno Valley,33.9244,-117.2045,207226
Amarillo,35.1988,-101.8308,206072
Portland,43.6773,-70.2715,206023
Fargo,46.8653,-96.8292,204820
Santa Barbara,34.4285,-119.7202,204034
Norwich,41.5495,-72.0882,203916
Glendale,34.1818,-118.2468,203054
Yonkers,40.9466,-73.8674,202019
Huntington Beach,33.696,-118.0025,201874
Aurora,41.7638,-88.2901,200965
Gainesville,29.6808,-82.3455,199695
Olympia,47.0418,-122.8959,196078
North Port,27.0577,-82.1976,195992
Huntington,38.4109,-82.4344,194155
Deltona,28.905,-81.2136,194061
Grand Prairie,32.6869,-97.0209,193837
Salinas,36.6881,-121.6316,193590
Waterbury,41.5583,-73.0361,191484
Overland Park,38.887,-94.687,191278
Waco,31.5597,-97.1883,188448
Erie,42.1168,-80.0733,188079
Cedar Rapids,41.9667,-91.6782,186160
Hagerstown,39.6401,-77.7217,185704
Tempe,33.3881,-111.9318,185038
Spartanburg,34.9437,-81.9257,183184
Clarksville,36.5696,-87.3428,182849
Gastonia,35.2494,-81.1855,180974
Lorain,41.4409,-82.184,180239
Sioux Falls,43.5397,-96.7322,180204
Fort Lauderdale,26.1412,-80.1464,180072
Newport News,37.1051,-76.5185,179388
High Point,35.9902,-79.9938,177874
Santa Cruz,36.9788,-122.0346,177556
Rancho Cucamonga,34.1247,-117.5664,177452
Frisco,33.1553,-96.8218,177286
Danbury,41.4016,-73.471,177177
Hemet,33.7341,-116.9969,176892
Oceanside,33.2247,-117.3083,176193
Ontario,34.0393,-117.6064,175841
Vancouver,45.6352,-122.597,175673
Garden Grove,33.7787,-117.9601,174226
Nampa,43.5843,-116.5626,173863
Vallejo,38.1133,-122.2359,173844
Elk Grove,38.416,-121.384,171844
Pembroke Pines,26.0128,-80.3387,170712
Medford,42.3372,-122.8537,168219
Peoria,33.7844,-112.2989,168181
Corona,33.862,-117.5644,167836
Murfreesboro,35.8493,-86.4098,167055
Marysville,48.0809,-122.1558,166541
Cary,35.7814,-78.8167,165904
Fredericksburg,38.2992,-77.4872,164976
Ocala,29.1803,-82.1495,164712
Manchester,42.9848,-71.4447,160742
Hayward,37.6328,-122.0772,160500
Muskegon,43.2281,-86.2562,160142
Alexandria,38.8185,-77.0861,160035
Springfield,39.7712,-89.6539,159394
Lafayette,40.3991,-86.8594,159293
Port Arthur,29.8554,-93.9264,157934
Palmdale,34.5944,-118.1057,157519
Champaign,40.1144,-88.2735,156794
Gainesville,34.2901,-83.8301,156248
Frederick,39.4335,-77.4157,154972
Lakewood,39.6978,-105.1168,154958
Tuscaloosa,33.2349,-87.5267,154204
Sunnyvale,37.3835,-122.0257,153656
Lake Charles,30.203,-93.215,153633
Hollywood,26.0293,-80.1678,153627
Pasadena,29.6584,-95.1499,153520
Pomona,34.0585,-117.7625,152939
Kansas City,39.1234,-94.7443,152938
Escondido,33.1347,-117.0722,151969
Binghamton,42.1014,-75.9093,150747
Warner Robins,32.598,-83.6528,149617
New Bedford,41.6697,-70.9428,149528
Topeka,39.0346,-95.6956,148960
Beaumont,30.0849,-94.1451,148954
Paterson,40.9147,-74.1624,148678
Joliet,41.5193,-88.1501,148462
Leesburg,28.7674,-81.8981,148161
Elkhart,41.6913,-85.9628,148131
Odessa,31.8831,-102.3407,147810
Naperville,41.7483,-88.1657,147682
Fairfield,38.2594,-122.0319,147582
Torrance,33.8346,-118.3417,146758
Panama City,30.1997,-85.6003,145239
Bellevue,47.5953,-122.1551,144444
Midland,32.0249,-102.1137,144247
Merced,37.3058,-120.4778,144117
Mesquite,32.7622,-96.5889,143949
Houma,29.5799,-90.7058,142969
Charleston,38.3484,-81.6323,142858
Pasadena,34.1598,-118.139,142647
Pueblo,38.2701,-104.6131,142351
Tyler,32.3184,-95.3065,141116
Orange,33.8038,-117.8219,140560
Fullerton,33.8841,-117.9279,140392
Miramar,25.9773,-80.3358,140328
Santa Maria,34.9333,-120.4432,140219
Athens,33.9508,-83.3689,140169
Columbia,38.9478,-92.3258,139945
Yuma,32.5991,-114.5488,138802
Olathe,38.8838,-94.8196,137472
Thornton,39.9205,-104.9443,136978
Harlingen,26.1917,-97.6977,136968
Grand Junction,39.0878,-108.5673,136688
West Valley City,40.6889,-112.0115,136170
Carrollton,32.9886,-96.9,135710
Roseville,38.7691,-121.3178,135329
Warren,42.4934,-83.027,135022
Bloomington,40.4757,-88.9705,134892
Hampton,37.0551,-76.3629,134669
Surprise,33.6802,-112.4525,134085
Las Cruces,32.3265,-106.7893,133988
Greeley,40.415,-104.7696,133750
Yakima,46.5923,-120.5496,133233
Coral Springs,26.2701,-80.2592,133037
Sterling Heights,42.5809,-83.0305,132631
Mauldin,34.7864,-82.2996,132402
Racine,42.7274,-87.8135,131467
