CityName,Lat,Lon,StateName,StateCode,County,Density,Population
Prairie Ridge,47.1443,-122.1408,Washington,WA,Pierce,1349.8,0
Edison,48.5602,-122.4311,Washington,WA,Skagit,127.4,0
Packwood,46.6085,-121.6702,Washington,WA,Lewis,213.9,0
Wautauga Beach,47.5862,-122.5482,Washington,WA,Kitsap,261.7,0
Harper,47.5207,-122.5196,Washington,WA,Kitsap,342.1,0
Telma,47.8432,-120.8157,Washington,WA,Chelan,1.4,0
Kahlotus,46.6437,-118.5565,Washington,WA,Franklin,173,199
Mondovi,47.6813,-118.0164,Washington,WA,Lincoln,9.4,0
Washtucna,46.754,-118.3106,Washington,WA,Adams,120,204
Pleasant Hill,47.6154,-121.9096,Washington,WA,King,25.8,0
Toledo,46.4412,-122.8493,Washington,WA,Lewis,738,751
Wabash,47.2429,-122.0576,Washington,WA,King,56.2,0
Renton,47.4758,-122.1905,Washington,WA,King,1671,101379
Chehalis,46.6637,-122.9647,Washington,WA,Lewis,500,7533
Marcellus,47.2335,-118.4053,Washington,WA,Adams,0,0
Central Valley,47.6632,-122.6499,Washington,WA,Kitsap,157.5,0
Ralston,46.9838,-118.3427,Washington,WA,Adams,0.7,0
Lake City,47.1487,-122.5512,Washington,WA,Pierce,1944.4,0
Megler,46.2509,-123.8576,Washington,WA,Pacific,9.9,0
Alder,46.7872,-122.2666,Washington,WA,Pierce,14.4,0
Goose Prairie,46.8951,-121.267,Washington,WA,Yakima,0,0
Belvedere,48.0499,-118.985,Washington,WA,Okanogan,4.6,0
Waverly,47.3381,-117.2313,Washington,WA,Spokane,101,108
Turner Corner,47.8045,-122.1435,Washington,WA,Snohomish,161,0
Lofall,47.8114,-122.6563,Washington,WA,Kitsap,260.6,0
Kennydale,47.5207,-122.2068,Washington,WA,King,2263.7,0
Easton,47.2405,-121.1733,Washington,WA,Kittitas,122.5,0
Navy Yard City,47.5508,-122.6655,Washington,WA,Kitsap,1659.8,0
Mercer Island,47.5625,-122.2265,Washington,WA,King,1529,25261
Lynnwood,47.8285,-122.3034,Washington,WA,Snohomish,1886,38273
Coulee City,47.612,-119.2892,Washington,WA,Grant,240,567
Douglas,47.6212,-120.0048,Washington,WA,Douglas,16.4,0
Centralia,46.7226,-122.9695,Washington,WA,Lewis,884,41643
Colbert,47.8266,-117.3419,Washington,WA,Spokane,115.6,0
Bryn Mawr,47.5034,-122.2329,Washington,WA,King,2502.5,0
Silverdale,47.6663,-122.6828,Washington,WA,Kitsap,595.7,0
Lyle,45.6956,-121.2805,Washington,WA,Klickitat,579.9,0
Malott,48.2919,-119.6955,Washington,WA,Okanogan,155.5,0
Mountlake Terrace,47.792,-122.3076,Washington,WA,Snohomish,2021,21337
Ilwaco,46.3108,-124.0422,Washington,WA,Pacific,176,945
Fairwood,47.4467,-122.143,Washington,WA,King,1858.6,0
Warm Beach,48.1649,-122.3442,Washington,WA,Snohomish,693,0
Thomas,47.3537,-122.229,Washington,WA,King,158.9,0
Parker,46.5022,-120.4668,Washington,WA,Yakima,14.8,0
Steptoe,47.0075,-117.3502,Washington,WA,Whitman,90.9,0
Vail,46.8451,-122.6562,Washington,WA,Thurston,106.3,0
Magnolia Beach,47.382,-122.4832,Washington,WA,King,182.7,0
Lakeview,47.1593,-122.4982,Washington,WA,Pierce,2782.1,0
Shaw Island,48.5843,-122.9291,Washington,WA,San Juan,17,0
Oakesdale,47.1305,-117.2465,Washington,WA,Whitman,164,442
Rosburg,46.3076,-123.6344,Washington,WA,Wahkiakum,11.1,0
Seattle,47.6211,-122.3244,Washington,WA,King,3337,3643765
Onalaska,46.5783,-122.7112,Washington,WA,Lewis,462,0
George,47.0846,-119.8598,Washington,WA,Grant,151,507
Index,47.8212,-121.5556,Washington,WA,Snohomish,384,205
Winchester,47.249,-119.7198,Washington,WA,Grant,16.7,0
Chelatchie,45.9279,-122.3795,Washington,WA,Clark,20.2,0
Allentown,47.4943,-122.2762,Washington,WA,King,1653.6,0
Novelty,47.709,-121.9846,Washington,WA,King,12,0
Rosalia,47.2363,-117.377,Washington,WA,Whitman,348,567
Richmond Beach,47.7695,-122.3901,Washington,WA,King,2048.9,0
Lakota,47.3329,-122.3723,Washington,WA,King,526.2,0
Liberty Lake,47.6687,-117.1032,Washington,WA,Spokane,621,9893
Airway Heights,47.6459,-117.5792,Washington,WA,Spokane,524,8166
Reardan,47.6698,-117.8778,Washington,WA,Lincoln,451,582
Farmer,47.6126,-119.812,Washington,WA,Douglas,0.2,0
Brier,47.7922,-122.2734,Washington,WA,Snohomish,1206,6884
Robe,48.0973,-121.8135,Washington,WA,Snohomish,38.7,0
Elk Plain,47.0448,-122.3671,Washington,WA,Pierce,105.5,0
Port Townsend,48.122,-122.7872,Washington,WA,Jefferson,530,8804
Ocean City,47.0762,-124.1619,Washington,WA,Grays Harbor,44.7,0
Boulevard Park,47.5135,-122.3159,Washington,WA,King,1426.1,0
Newhalem,48.6737,-121.2473,Washington,WA,Whatcom,20.9,0
Ford,47.9082,-117.8058,Washington,WA,Stevens,2.6,0
Waterville,47.648,-120.0707,Washington,WA,Douglas,533,1198
Quinault,47.467,-123.8455,Washington,WA,Grays Harbor,33,0
Humptulips,47.2491,-123.9348,Washington,WA,Grays Harbor,49.8,0
Hamilton,48.5282,-121.9834,Washington,WA,Skagit,105,309
Oak Harbor,48.2965,-122.633,Washington,WA,Island,934,34663
Naches,46.7274,-120.6945,Washington,WA,Yakima,472,827
Hooper,46.7749,-118.1486,Washington,WA,Adams,0,0
Anacortes,48.4878,-122.6292,Washington,WA,Skagit,559,17955
Kettle Falls,48.6055,-118.062,Washington,WA,Stevens,585,1611
Walnut Grove,45.6769,-122.6072,Washington,WA,Clark,1575,0
Salkum,46.5321,-122.6259,Washington,WA,Lewis,72.1,0
Cunningham,46.8221,-118.8064,Washington,WA,Adams,8.3,0
Irby,47.3593,-118.8511,Washington,WA,Lincoln,2,0
Electric City,47.922,-119.0475,Washington,WA,Grant,189,1001
Burbank,46.1991,-118.9728,Washington,WA,Walla Walla,640.5,0
Silver Lake,46.2973,-122.8107,Washington,WA,Cowlitz,45.1,0
Dash Point,47.3131,-122.4153,Washington,WA,Pierce,1057.7,0
Pataha,46.4732,-117.5366,Washington,WA,Garfield,53.2,0
Laurel,45.944,-121.3801,Washington,WA,Klickitat,0.3,0
